# external cosmogenics, factorised sampling table
# generated by make_external_cosmogenics_table.py from a 189875-row CSV
# energy in keV; cos_theta measured about the drift axis; phi in rad
#
# SPECIES <pdg> <n_particles> <representation>
# L    <ekin_keV> <count>                 discrete line, exact energy
# E    <lo_keV> <hi_keV> <count>          quantile-spaced continuum
# A    <cos_lo> <cos_hi> <phi_lo> <phi_hi> <count>
# RAW  <ekin_keV> <dirX> <dirY> <dirZ>    species below 200 particles

SPECIES 22 106030 binned
L 167.3 475
L 348.7 62
L 510.999 2349
L 516 295
L 659.95 75
L 838 100
L 1044.3 128
L 1063.25 114
L 1186.7 859
L 1267.18 132
L 1293.59 1847
L 1354 51
L 1431.75 78
L 1460.85 1013
L 1517.51 64
L 1642.67 52
L 1882.3 81
L 2130.8 84
L 2167.41 61
L 2224.57 142
L 2224.58 51
L 2524.1 78
L 2566.1 62
L 2614.2 77
L 2772.3 140
L 2781.2 57
L 2810.7 100
L 2842.4 61
L 3089.3 60
L 3150.5 89
L 3365.6 82
L 3700.7 367
L 4745 1326
L 4745.01 74
L 5583 293
L 7631.59 60
L 7646 76
E 6.78292 69.3441 742
E 69.3441 79.4118 741
E 79.4118 86.1461 742
E 86.1461 91.892 741
E 91.892 97.2759 742
E 97.2759 101.921 741
E 101.921 106.418 742
E 106.418 110.825 741
E 110.825 115.033 742
E 115.033 119.215 741
E 119.215 123.443 742
E 123.443 127.72 741
E 127.72 132.156 742
E 132.156 136.309 741
E 136.309 140.898 742
E 140.898 145.323 741
E 145.323 149.989 742
E 149.989 154.215 741
E 154.215 158.762 742
E 158.762 163.208 741
E 163.208 167.53 742
E 167.53 172.421 742
E 172.421 177.459 741
E 177.459 182.663 742
E 182.663 187.846 741
E 187.846 193.277 742
E 193.277 198.647 741
E 198.647 204.546 742
E 204.546 210.77 741
E 210.77 216.368 742
E 216.368 222.187 741
E 222.187 228.672 742
E 228.672 235.268 741
E 235.268 241.939 742
E 241.939 248.916 741
E 248.916 255.606 742
E 255.606 262.974 741
E 262.974 270.607 742
E 270.607 278.147 741
E 278.147 285.828 742
E 285.828 293.93 741
E 293.93 301.903 742
E 301.903 309.721 742
E 309.721 318.225 741
E 318.225 327.498 742
E 327.498 336.226 741
E 336.226 345.757 742
E 345.757 355.804 741
E 355.804 365.295 742
E 365.295 375.634 741
E 375.634 385.986 742
